words,Type,surp_UD,surp_HD,item_id,cond
में,,0.01205,0.11458,9,d
काटा,,1.12347,0.16599,9,d
था,,0.00266,0.00447,9,d
उस,,0.22287,0.66822,9,d
किसान,,0.1731,0.67069,9,d
ने,,0.1724,0.31225,9,d
काफी,,0.57059,0.61812,9,d
महंगी,,0.2364,0.38741,9,d
है,,0.608,0.5165,9,d
।,,0.09692,0.02397,9,d
वह,,0.00054,0.03664,10,a
टी-टी,,0.12547,0.47577,10,a
जिसने,,0.02407,0.36759,10,a
सिगरेट,,0.12692,0.36296,10,a
वेटिंग,,0.32099,0.92532,10,a
रूम,,1.43373,4.11719,10,a
के,,0.01102,0.08198,10,a
सामने,,0.17219,0.58993,10,a
मांगी,,1.98856,0.13148,10,a
थी,,0.00401,0.00421,10,a
मेरी,,0.24185,0.94195,10,a
मौसी,,0.24863,0.83317,10,a
का,,0.15797,0.10304,10,a
रिशतेदार,,0.70923,0.66621,10,a
है,,0.34787,0.95293,10,a
।,,0.68683,0.33061,10,a
वह,,0.00054,0.03664,10,b
टी-टी,,0.12547,0.47577,10,b
जिसने,,0.02407,0.36759,10,b
वेटिंग,,0.12676,0.36296,10,b
रूम,,1.17855,3.69216,10,b
के,,0.01102,0.08198,10,b
सामने,,0.17219,0.58993,10,b
मांगी,,1.98856,0.13148,10,b
थी,,0.00401,0.00421,10,b
सिगरेट,,0.20477,0.58628,10,b
मेरी,,0.51176,1.52554,10,b
मौसी,,0.25119,0.7,10,b
का,,0.15797,0.10304,10,b
रिशतेदार,,0.5929,0.52686,10,b
है,,0.85943,2.29712,10,b
।,,0.1318,0.02458,10,b
वह,,0.0007,0.10484,10,c
सिगरेट,,0.19415,0.88503,10,c
जिसको,,0.00977,0.05763,10,c
उस,,0.02457,0.08714,10,c
टी-टी,,0.67694,1.27422,10,c
ने,,0.03466,0.22972,10,c
वेटिंग,,0.044,0.89655,10,c
रूम,,0.59888,2.8398,10,c
के,,0.01166,0.09511,10,c
सामने,,0.17236,0.55443,10,c
मांगा,,1.76436,0.17746,10,c
था,,0.00398,0.00398,10,c
विलायत,,0.20478,0.586,10,c
से,,0.2656,0.31596,10,c
आती,,0.48417,0.20745,10,c
है,,0.06468,0.1278,10,c
।,,0.70666,0.50451,10,c
वह,,0.0007,0.10484,10,d
सिगरेट,,0.19415,0.88503,10,d
जिसको,,0.00977,0.05763,10,d
वेटिंग,,0.08805,0.40182,10,d
रूम,,0.90864,2.29181,10,d
के,,0.01102,0.09511,10,d
सामने,,0.17219,0.55443,10,d
मांगा,,1.3398,0.17746,10,d
था,,0.00398,0.00398,10,d
उस,,0.24998,0.76299,10,d
टी-टी,,0.18498,0.71264,10,d
ने,,0.55887,0.74022,10,d
विलायत,,0.39614,0.71791,10,d
से,,0.12279,0.26975,10,d
आती,,0.86893,0.23956,10,d
है,,0.06468,0.1278,10,d
।,,0.70666,0.50451,10,d
वह,,0.00054,0.03664,11,a
बढ़ई,,0.83369,0.09547,11,a
जिसने,,0.22644,0.91186,11,a
अलमारी,,0.22657,0.73193,11,a
नीम,,0.69827,0.85418,11,a
के,,0.21231,0.23935,11,a
पेड़,,0.54893,0.86408,11,a
के,,0.10229,0.21854,11,a
नीचे,,0.40888,0.94146,11,a
बनायी,,0.87177,0.25659,11,a
थी,,0.15133,0.22499,11,a
यहाँ,,0.49688,1.89095,11,a
कई,,0.23597,1.01586,11,a
सालों,,0.24381,0.6489,11,a
से,,0.18038,0.25803,11,a
काम,,0.68151,0.9327,11,a
कर,,0.936,0.25321,11,a
रहा,,0.16932,0.1785,11,a
है,,0.15955,0.15021,11,a
।,,0.47902,0.51264,11,a
वह,,0.00054,0.03664,11,b
बढ़ई,,0.83369,0.09547,11,b
जिसने,,0.22644,0.91186,11,b
नीम,,0.22658,0.73193,11,b
के,,0.14571,0.24431,11,b
पेड़,,0.69828,0.85786,11,b
के,,0.10229,0.21854,11,b
नीचे,,0.40888,0.94146,11,b
बनायी,,0.87177,0.25659,11,b
थी,,0.15133,0.22499,11,b
अलमारी,,0.42254,1.07117,11,b
यहाँ,,0.50235,1.44343,11,b
कई,,0.23853,1.0513,11,b
सालों,,0.24381,0.6489,11,b
से,,0.18038,0.25803,11,b
काम,,0.68151,0.9327,11,b
कर,,0.936,0.25321,11,b
रहा,,0.16932,0.1785,11,b
है,,0.15955,0.15021,11,b
।,,0.47902,0.51264,11,b
वह,,0.00054,0.03664,11,c
अलमारी,,0.83343,0.09547,11,c
जिसको,,0.22645,0.91186,11,c
उस,,0.27753,0.98728,11,c
बढ़ई,,0.24467,0.63322,11,c
ने,,0.17273,0.31225,11,c
नीम,,0.69934,0.90681,11,c
के,,0.10232,0.21854,11,c
पेड़,,0.87867,0.90233,11,c
के,,0.10229,0.21854,11,c
नीचे,,0.40888,0.94146,11,c
बनाया,,0.87289,0.25611,11,c
था,,0.14935,0.21921,11,c
लकड़ी,,0.42355,1.07088,11,c
की,,0.54184,0.22122,11,c
है,,0.1357,0.13944,11,c
।,,0.40996,0.46937,11,c
वह,,0.00054,0.03664,11,d
अलमारी,,0.83343,0.09547,11,d
जिसको,,0.22645,0.91186,11,d
नीम,,0.22659,0.73193,11,d
के,,0.14571,0.24431,11,d
पेड़,,0.69829,0.85786,11,d
के,,0.10229,0.21854,11,d
नीचे,,0.40888,0.94146,11,d
बनाया,,0.87289,0.25611,11,d
था,,0.14935,0.21921,11,d
उस,,0.50886,1.41129,11,d
बढ़ई,,0.22438,0.59838,11,d
ने,,0.17273,0.31225,11,d
लकड़ी,,0.69931,0.90681,11,d
की,,0.98232,0.25631,11,d
है,,0.1357,0.13944,11,d
।,,0.40996,0.46937,11,d
वह,,0.0007,0.10484,12,a
दुकानदार,,0.19421,0.88503,12,a
जिसने,,0.00974,0.05763,12,a
पुरानी,,0.09987,0.50685,12,a
बन्दूक,,0.96422,1.79008,12,a
इस,,0.00835,0.12467,12,a
साल,,0.36517,1.77759,12,a
एक-दो,,0.03662,0.16639,12,a
बार,,0.42796,1.76796,12,a
म्यूजियम,,0.84403,0.63209,12,a
में,,0.01174,0.10869,12,a
दिखायी,,1.99453,0.229,12,a
थी,,0.00267,0.00471,12,a
मशहूर,,0.15515,0.2876,12,a
संग्रहकर्ता,,0.18279,0.73745,12,a
है,,0.47739,0.90142,12,a
।,,0.49916,0.21062,12,a
वह,,0.0007,0.10484,12,b
दुकानदार,,0.19421,0.88503,12,b
जिसने,,0.00974,0.05763,12,b
इस,,0.0127,0.10931,12,b
साल,,0.55147,1.23177,12,b
एक-दो,,0.02395,0.31762,12,b
बार,,0.38253,1.2229,12,b
म्यूजियम,,0.93558,0.67193,12,b
में,,0.01174,0.10869,12,b
दिखायी,,1.79237,0.33835,12,b
थी,,0.00267,0.00471,12,b
पुरानी,,0.15449,0.29573,12,b
बन्दूक,,0.18289,0.73782,12,b
मशहूर,,0.54809,0.60076,12,b
संग्रहकर्ता,,0.18529,0.7439,12,b
है,,0.47739,0.90142,12,b
।,,0.49916,0.21062,12,b
वह,,0.0007,0.10484,12,c
बन्दूक,,0.19432,0.88503,12,c
जिसको,,0.00976,0.05763,12,c
उस,,0.02457,0.08714,12,c
दुकानदार,,0.64482,1.15604,12,c
ने,,0.01597,0.15816,12,c
इस,,0.00571,0.12507,12,c
साल,,0.27933,2.29641,12,c
एक-दो,,0.02466,0.31762,12,c
बार,,0.39244,1.2229,12,c
म्यूजियम,,0.93558,0.67193,12,c
में,,0.01174,0.10869,12,c
दिखाया,,2.01998,0.33783,12,c
था,,0.00264,0.00442,12,c
अंग्रेज़ो,,0.09423,0.34696,12,c
के,,0.69783,0.62371,12,c
ज़माने,,0.26406,0.76625,12,c
की,,0.10402,0.25204,12,c
है,,0.34873,0.91122,12,c
।,,0.66211,0.21454,12,c
वह,,0.0007,0.10484,12,d
बन्दूक,,0.19432,0.88503,12,d
जिसको,,0.00976,0.05763,12,d
इस,,0.01272,0.10931,12,d
साल,,0.55185,1.23177,12,d
एक-दो,,0.02395,0.31762,12,d
बार,,0.38253,1.2229,12,d
म्यूजियम,,0.93558,0.67193,12,d
में,,0.01174,0.10869,12,d
दिखाया,,1.78625,0.33783,12,d
था,,0.00264,0.00442,12,d
उस,,0.22172,0.67385,12,d
दुकानदार,,0.17223,0.66618,12,d
ने,,0.17272,0.31225,12,d
अंग्रेज़ो,,0.71084,0.69518,12,d
के,,0.34868,0.53993,12,d
ज़माने,,0.41244,0.7909,12,d
की,,0.96145,0.25374,12,d
