item	roi	word	surprisal	retrieval,surprisal
138	9	थी	0.00454	123.30855296529035,0.00428
138	10	मेरे	0.25335	244.57055928758768,0.9291
138	11	बेटे	0.29251	353.9261475545902,0.88598
138	12	की	0.14047	123.30855296529035,0.10851
138	13	टीचर	0.78163	595.3671985090732,0.66382
138	14	है।	0.80732	273.6465687139462,0.74768
140	1	वह	0.00071	51.0,0.10484
140	2	औरत	0.20173	174.30855296529043,0.88503
140	3	जिसने	0.00892	51.00000000000003,0.05763
140	4	पिछले	0.08825	51.0,0.5069
140	5	महीने	0.96378	196.6171059305808,1.79679
140	6	खरीदी	1.29375	569.3836828871933,0.16528
140	7	थी	0.00454	123.30855296529035,0.00428
140	8	लाल	0.22506	244.57055928758768,0.25862
140	9	गाड़ी	0.28891	353.92614755459044,0.65927
140	10	मेरे	0.68019	330.21107217803933,1.64334
140	11	बेटे	0.29604	575.2912090188233,0.74639
140	12	की	0.14047	123.30855296529035,0.10851
140	13	टीचर	0.78163	882.1107570369818,0.66382
140	14	है।	0.80732	314.3292139927994,0.74768
142	1	वह	0.00054	51.0,0.03664
142	2	लाल	0.00421	51.0,0.22762
142	3	गाड़ी	0.42390	174.30855296529046,1.66648
142	4	जिसको	0.01896	51.0,0.36439
142	5	उस	0.02992	51.0,0.07697
142	6	औरत	0.88782	174.30855296529046,1.08522
142	7	ने	0.01345	123.30855296529046,0.15816
142	8	पिछले	0.03238	101.0,0.484
142	9	महीने	0.52697	196.6171059305808,3.4938
142	10	खरीदा	2.30426	1041.8024291939673,0.04106
142	11	था	0.00449	123.30855296529035,0.30964
142	12	लोगो	0.24551	291.35583893138164,1.05497
142	13	में	0.22662	145.6171059305807,0.36364
142	14	काफी	0.50797	284.3119056916835,1.07421
142	15	लोकप्रिय	0.31675	343.1182072800275,0.41653
142	16	है।	0.24299	263.1409377630148,0.13981
144	1	वह	0.00071	51.0,0.10484
144	2	लाल	0.05211	51.0,1.2569
144	3	गाड़ी	0.80796	322.1980044095982,1.88265
144	4	जिसको	0.01618	51.0,0.68531
144	5	पिछले	0.12897	51.0,0.53506
144	6	महीने	1.49075	322.1980044095982,0.50852
144	7	खरीदा	1.23548	401.73097003361636,0.30024
144	8	था	0.00449	123.30855296529035,0.23601
144	9	उस	0.25628	244.57055928758768,1.88734
144	10	औरत	0.27769	286.28409836972696,0.52024
144	11	ने	0.16328	123.30855296529035,0.31349
144	12	लोगो	0.78124	486.5564129385252,0.9192
144	13	में	0.10314	145.6171059305807,0.23579
144	14	काफी	0.82109	324.40660785238197,1.09264
144	15	लोकप्रिय	0.31675	418.6335058889049,0.29501
144	16	है।	0.24299	299.2972023486468,0.19955
146	1	वह	0.00071	51.0,0.10484
146	2	डाक्टर	0.20172	174.30855296529043,0.88503
146	3	जिसने	0.00894	51.00000000000003,0.05763
146	4	दवाईयां	1.17056	196.6171059305808,0.58196
146	5	कल	0.86138	51.0,0.60546
146	6	शाम	1.50661	241.2342118611616,0.68016
146	7	फेकीं	1.23132	586.5879491645542,0.34061
146	8	थीं	0.00464	123.30855296529035,0.00432
146	9	बहुत	0.18123	197.78527964379373,0.33793
146	10	होशियार	0.25993	215.17868526501138,0.33202
146	11	है।	0.23992	229.85857189682224,0.14686
148	1	वह	0.00071	51.0,0.10484
148	2	डाक्टर	0.20172	174.30855296529043,0.88503
148	3	जिसने	0.00894	51.00000000000003,0.05763
148	4	कल	1.17425	196.6171059305808,0.52839
148	5	शाम	0.86663	51.0,0.67365
148	6	फेकीं	1.23157	551.0316642945904,0.28046
148	7	थीं	0.00464	123.30855296529035,0.00432
148	8	दवाईयां	0.24559	338.14111857517537,0.5846
148	9	बहुत	0.50546	225.08463517553196,1.2062
148	10	होशियार	0.26525	238.66395369032534,0.3367
148	11	है।	0.24309	251.06955070433378,0.15203
150	1	वह	0.00071	51.0,0.10484
150	2	दवाईयां	0.20180	174.30855296529043,0.88503
150	3	जिनको	0.00893	51.00000000000003,0.05763
150	4	उस	0.02087	51.0,0.08714
150	5	डाक्टर	0.65459	196.6171059305808,1.15604
150	6	ने	0.01345	123.30855296529046,0.15816
150	7	कल	0.67117	101.0,0.57673
150	8	शाम	0.68963	51.0,0.60904
150	9	फेका	1.80581	962.9599736336658,0.33331
150	10	था	0.00450	123.30855296529035,0.00403
150	11	खराब	0.22512	197.78527964379396,0.25325
150	12	हो	0.22766	279.35737053002276,0.10471
150	13	गईं	0.10340	145.6171059305807,0.19881
150	14	थीं।	0.15638	298.1699580311133,0.22515
152	1	वह	0.00071	51.0,0.10484
152	2	दवाईयां	0.20180	174.30855296529043,0.88503
152	3	जिनको	0.00893	51.00000000000003,0.05763
152	4	कल	1.17336	196.6171059305808,0.52839
152	5	शाम	0.86663	51.0,0.67365
152	6	फेका	1.23178	551.0316642945904,0.28046
152	7	था	0.00450	123.30855296529035,0.00403
152	8	उस	0.25662	244.57055928758768,0.76705
152	9	डाक्टर	0.27806	421.5681967394539,0.60176
152	10	ने	0.16327	123.30855296529035,0.31225
152	11	खराब	0.64157	302.8843070442945,0.5907
152	12	हो	0.37401	377.69913282194057,0.11963
152	13	गईं	0.10340	145.6171059305807,0.19881
152	14	थीं।	0.15638	298.1699580311133,0.22515
154	1	वह	0.00071	51.0,0.10484
154	2	इंजीनियर	0.20143	174.30855296529043,0.88503
154	3	जिसने	0.00892	51.00000000000003,0.05763
154	4	वह	0.02038	51.0,0.10271
154	5	बिल्डिंग	0.66509	196.6171059305808,1.23752
154	6	बहुत	0.07545	51.0,0.3315
154	7	धीरे-धीरे	0.38524	51.0,1.16845
154	8	बनायी	1.38912	932.5571684265944,0.35418
154	9	थी	0.00334	123.30855296529035,0.00417
154	10	मरे	0.09353	244.57055928758768,0.02642
154	11	दोस्त	0.35022	353.9261475545902,0.99303
154	12	की	0.27524	123.30855296529035,0.45204
154	13	कंपनी	0.46946	595.3671985090732,0.74477
154	14	में	0.10348	145.6171059305807,0.23554
154	15	काम	0.91515	851.9812680441555,0.93378
154	16	करता	0.94006	623.2214465897728,0.25001
154	17	है।	0.53803	326.66607752243453,0.57645
156	1	वह	0.00071	51.0,0.10484
156	2	इंजीनियर	0.20143	174.30855296529043,0.88503
156	3	जिसने	0.00892	51.00000000000003,0.05763
156	4	बहुत	0.14608	51.0,0.33867
156	5	धीरे-धीरे	0.27439	51.0,1.15755
156	6	बनायी	1.21333	717.5967190957491,0.29902
156	7	थी	0.00334	123.30855296529035,0.00417
156	8	वह	0.23150	244.57055928758768,0.87408
156	9	बिल्डिंग	0.21868	286.28409836972696,0.58619
156	10	मरे	0.67995	322.68672668145337,0.24425
156	11	दोस्त	0.36118	458.67110970525073,1.03429
156	12	की	0.27524	123.30855296529035,0.45204
156	13	कंपनी	0.46946	717.6812715862848,0.74477
156	14	में	0.10348	145.6171059305807,0.23554
156	15	काम	0.91515	993.295174047963,0.93378
156	16	करता	0.94006	706.7226946472874,0.25001
156	17	है।	0.53803	354.00388663871854,0.57645
158	1	हमारी	0.00074	51.0,0.04827
158	2	बिल्डिंग	0.60307	51.0,0.71962
158	3	जिसको	0.01440	51.0,0.1368
158	4	उस	0.02087	51.0,0.08714
158	5	इंजीनियर	0.65530	196.6171059305808,1.15604
