item	roi	word	surprisal	retrieval
112	10	ग्राहक	0.67213	466.22435038599156
112	11	ने	0.31225	145.61710593058092
112	12	जापान	0.69947	299.14719445957144
112	13	में	0.58322	167.92565889587104
112	14	बनती	0.12864	439.24938736131026
112	15	है	0.13908	145.6171059305807
112	16	।	0.46845	342.0601825806234
114	1	वह	0.10484	51.0
114	2	लड़का	0.88503	174.30855296529043
114	3	जिसने	0.05763	51.00000000000003
114	4	मोटरसाइकिल	0.58196	51.0
114	5	पिछले	0.51162	51.0
114	6	हफते	0.26661	717.5967190957491
114	7	खरीदी	0.02274	145.61710593058092
114	8	थी	0.39291	123.30855296529035
114	9	डाक्टरी	0.87882	393.0409181668456
114	10	की	0.29567	123.30855296529035
114	11	पढ़ाई	0.21183	487.7538855132552
114	12	कर	0.22739	145.6171059305807
114	13	रहा	0.22618	298.1699580311133
114	14	है	0.18139	442.64846666300673
114	15	।	0.46035	351.15367540960233
116	1	वह	0.10484	51.0
116	2	लड़का	0.88503	174.30855296529043
116	3	जिसने	0.05763	51.00000000000003
116	4	पिछले	0.50690	51.0
116	5	हफते	0.20993	537.5364587679538
116	6	खरीदी	0.02274	145.6171059305808
116	7	थी	0.39291	123.30855296529046
116	8	मोटरसाइकिल	0.76837	265.0136393889484
116	9	डाक्टरी	0.74020	308.4281574003503
116	10	की	0.24611	123.30855296529035
116	11	पढ़ाई	0.25021	514.1635159545781
116	12	कर	0.22739	145.6171059305807
116	13	रहा	0.22618	298.1699580311133
116	14	है	0.18139	442.64846666300673
116	15	।	0.46035	357.72982509397025
118	1	वह	0.10484	51.0
118	2	मोटरसाइकिल	0.88503	174.30855296529043
118	3	जिसको	0.05763	51.00000000000003
118	4	उस	0.08714	51.0
118	5	लड़के	1.15604	196.6171059305808
118	6	ने	0.15816	123.30855296529046
118	7	पिछले	0.48400	101.0
118	8	हफते	0.25869	779.8074791568455
118	9	खरीदा	0.02273	145.61710593058092
118	10	था	0.38370	123.30855296529035
118	11	बजाज	0.60481	265.0136393889484
118	12	की	0.70591	145.6171059305807
118	13	नई	0.39323	381.05321237998214
118	14	पेशकश	0.69007	470.40202624659287
118	15	है	0.90142	167.9256588958715
118	16	।	0.21118	335.35839818896784
120	1	वह	0.10484	51.0
120	2	मोटरसाइकिल	0.88503	174.30855296529043
120	3	जिसको	0.05763	51.00000000000003
120	4	पिछले	0.50690	51.0
120	5	हफते	0.20993	537.5364587679538
120	6	खरीदा	0.02273	145.6171059305808
120	7	था	0.38370	123.30855296529046
120	8	उस	1.08342	151.0
120	9	लड़के	0.61625	401.7478627738167
120	10	ने	0.31225	123.30855296529035
120	11	बजाज	0.66105	304.4160720489897
120	12	की	0.61328	145.6171059305807
120	13	नई	0.41856	446.6536354106529
120	14	पेशकश	0.69007	564.054121568623
120	15	है	0.90142	167.9256588958715
